Year,Latitude,Line,Line Group (Path ID),Longitude,Point Order,Station,Traffic
2013,48.852841731,5,5,2.369180605,17,Bastille,13706765
2013,48.906969944,5,5,2.449620717,1,Bobigny-Pablo-Picasso,7135266
2013,48.895268991,5,5,2.424801878,2,Bobigny-Pantin (Raymond Queneau),2371008
2013,48.856516215,5,5,2.370937133,16,Bréguet-Sabin,2038531
2013,48.835775972,5,5,2.358153141,21,Campo-Formio,1120960
2013,48.893113982,5,5,2.413285681,3,Eglise de Pantin,3693931
2013,48.843105583,5,5,2.364313048,19,Gare d'Austerlitz,8375268
2013,48.876061306,5,5,2.357918677,11,Gare de l'Est (Verdun),19989528
2013,48.879965443,5,5,2.354703078,10,Gare du Nord,49977513
2013,48.891316564,5,5,2.403197414,4,Hoche,5046958
2013,48.870974904,5,5,2.360537884,12,Jacques-Bonsergent,2727155
2013,48.882543746,5,5,2.370231819,8,Jaurès,4992926
2013,48.885042234,5,5,2.379595553,7,Laumière,4726950
2013,48.864515624,5,5,2.368674236,14,Oberkampf,4167444
2013,48.886975022,5,5,2.386029588,6,Ourcq,3792001
2013,48.831406154,5,5,2.355721373,22,Place d'Italie,11534907
2013,48.888332736,5,5,2.391468614,5,Porte de Pantin,4675965
2013,48.845795198,5,5,2.367035634,18,Quai de la Rapée,986508
2013,48.867486039,5,5,2.363669598,13,République,16953175
2013,48.860892754,5,5,2.37209778,15,Richard-Lenoir,1767814
2013,48.839514186,5,5,2.361408779,20,Saint-Marcel,1853989
2013,48.88430479,5,5,2.367085015,9,Stalingrad,7588899
2013,48.841896142,6,6,2.401205627,26,Bel-Air,2319026
2013,48.840428089,6,6,2.379582969,23,Bercy,5473870
2013,48.854333158,6,6,2.288782856,6,Bir-Hakeim (Grenelle),8157090
2013,48.867027046,6,6,2.290473845,3,Boissière,2150445
2013,48.847456336,6,6,2.301807804,9,Cambronne,3097164
2013,48.874407604,6,6,2.295762684,1,Charles de Gaulle-Etoile,9067635
2013,48.834407935,6,6,2.367165241,21,Chevaleret,3058367
2013,48.829611685,6,6,2.349438327,18,Corvisart,2622998
2013,48.839362913,6,6,2.395845908,25,Daumesnil (Félix Eboué),5195589
2013,48.833591904,6,6,2.33189346,15,Denfert-Rochereau,4339678
2013,48.838912233,6,6,2.388952572,24,Dugommier,2674338
2013,48.850805637,6,6,2.292769587,7,Dupleix,3983127
2013,48.840333988,6,6,2.326171392,13,Edgar-Quinet,2241317
2013,48.831364707,6,6,2.343938894,17,Glacière,4933269
2013,48.871094813,6,6,2.293079154,2,Kléber,1260051
2013,48.849160502,6,6,2.297949299,8,La Motte-Picquet-Grenelle,8280583
2013,48.843042851,6,6,2.322635051,12,Montparnasse-Bienvenue,31919734
2013,48.848465751,6,6,2.395905744,28,Nation,9541406
2013,48.832710455,6,6,2.362045462,20,Nationale,2710907
2013,48.857633321,6,6,2.285865011,5,Passy,3908764
2013,48.84293835,6,6,2.312656445,11,Pasteur,5110865
2013,48.845260448,6,6,2.401255165,27,Picpus,1405460
2013,48.831406154,6,6,2.355721373,19,Place d'Italie,11534907
2013,48.837398954,6,6,2.373783885,22,Quai de la Gare,3420407
2013,48.838963714,6,6,2.330583097,14,Raspail,1836323
2013,48.833252288,6,6,2.336220015,16,Saint-Jacques,2070465
2013,48.84513077,6,6,2.310183904,10,Sèvres-Lecourbe,2408327
