Basin,Date,Latitude,Longitude,Number of Records,Pressure (mb),Storm Name,Wind speed (kt)
West Pacific,7/30/2012 12:00:00 AM,25.4,145,1,996,DAMREY,40
West Pacific,7/30/2012 12:00:00 AM,19.5,125.2,1,980,SAOLA,55
West Pacific,7/30/2012 6:00:00 AM,25.4,144.7,1,992,DAMREY,40
West Pacific,7/30/2012 6:00:00 AM,20.1,124.8,1,980,SAOLA,55
West Pacific,7/30/2012 12:00:00 PM,26.5,144.2,1,990,DAMREY,40
West Pacific,7/30/2012 12:00:00 PM,20.5,124.5,1,980,SAOLA,55
West Pacific,7/30/2012 3:00:00 PM,27.1,143.5,1,985,DAMREY,45
West Pacific,7/30/2012 6:00:00 PM,27.7,142.8,1,975,DAMREY,55
West Pacific,7/30/2012 6:00:00 PM,20.8,124,1,975,SAOLA,60
West Pacific,7/30/2012 9:00:00 PM,28,141.7,1,980,DAMREY,50
West Pacific,7/31/2012 12:00:00 AM,28.3,141,1,980,DAMREY,50
West Pacific,7/31/2012 12:00:00 AM,21,124.1,1,975,SAOLA,60
West Pacific,7/31/2012 6:00:00 AM,28.6,138.9,1,980,DAMREY,50
West Pacific,7/31/2012 6:00:00 AM,21.3,124.2,1,970,SAOLA,60
West Pacific,7/31/2012 12:00:00 PM,28.9,137.2,1,980,DAMREY,50
West Pacific,7/31/2012 12:00:00 PM,21.7,124.1,1,970,SAOLA,60
West Pacific,7/31/2012 3:00:00 PM,22,123.9,1,970,SAOLA,60
West Pacific,7/31/2012 6:00:00 PM,29.3,135.1,1,980,DAMREY,50
West Pacific,7/31/2012 6:00:00 PM,22.3,123.7,1,965,SAOLA,65
West Pacific,7/31/2012 9:00:00 PM,29.8,134,1,975,DAMREY,55
West Pacific,7/31/2012 9:00:00 PM,22.4,123.7,1,965,SAOLA,65
West Pacific,8/1/2012 12:00:00 AM,30,132.7,1,975,DAMREY,55
West Pacific,8/1/2012 12:00:00 AM,22.7,123.6,1,965,SAOLA,65
West Pacific,8/1/2012 3:00:00 AM,30.3,131.4,1,975,DAMREY,55
West Pacific,8/1/2012 3:00:00 AM,23,123.5,1,965,SAOLA,65
